algoritmo,tamanho,complexidade,tempo,razao,tempo_max,tempo_min,memoria
mf_b,100,O(n),0.0005019,199262.56460161,5.000437498092651,0,10376
mf_b,1000,O(n),0.0044652,223953.97369257858,5.001027584075928,0,59200
mf_b,1500,O(n),0.0065278,229786.8734038192,5.000285625457764,0,70800
mf_b,200,O(n),0.0009162,218285.63057173978,5.000787258148193,0,13992
mf_b,2000,O(n),0.0086677,230742.02710433898,5.001256227493286,0,107812
mf_b,500,O(n),0.0022144,225793.83068728523,5.000136613845825,0,28504
